1	1226+023	26 	 	f	48	2001.203 	2.381 	  	8.27	244.7 	1.25 	1.00 	22	Y
2	1226+023	26 	 	f	48	2001.995 	2.695 	  	9.24	244.3 	1.03 	1.00 	22	Y
3	1226+023	26 	 	f	48	2002.252 	2.798 	  	9.55	243.9 	0.94 	1.00 	22	Y
4	1226+023	26 	 	f	48	2002.740 	2.943 	  	9.81	244.1 	0.80 	1.00 	22	Y
5	1226+023	26 	 	f	48	2002.773 	3.295 	  	9.86	243.8 	0.95 	1.00 	22	Y
6	1226+023	26 	 	f	48	2002.956 	3.549 	 	10.03	243.3 	0.95 	1.00 	22	Y
7	1226+023	26 	 	f	48	2003.162 	3.144 	 	10.20	243.1 	0.94 	1.00 	53	Y
8	1226+023	26 	 	f	48	2003.342 	3.539 	 	10.40	243.1 	0.96 	1.00 	53	Y
9	1226+023	26 	 	f	48	2003.501 	3.364 	 	10.44	243.3 	1.00 	1.00 	53	Y
10	1226+023	26 	 	f	48	2003.507 	3.622 	 	10.43	243.3 	1.03 	1.00 	53	Y
11	1226+023	26 	 	f	48	2003.526 	2.572 	 	10.49	243.3 	0.93 	1.00 	53	Y
12	1226+023	26 	 	f	48	2003.658 	3.137 	 	10.58	243.3 	0.98 	1.00 	53	Y
13	1226+023	26 	 	f	48	2003.685 	2.997 	 	10.60	243.3 	0.93 	1.00 	53	Y
14	1226+023	26 	 	f	48	2003.896 	3.217 	 	10.77	243.0 	1.11 	1.00 	53	Y
15	1226+023	26 	 	f	48	2004.447 	3.046 	 	11.24	242.7 	1.10 	1.00 	53	Y
16	1226+023	26 	 	f	48	2004.699 	2.927 	 	11.65	241.9 	1.15 	1.00 	53	Y
17	1226+023	26 	 	f	48	2004.923 	2.954 	 	11.71	241.9 	1.25 	1.00 	53	Y
18	1226+023	26 	 	f	48	2005.381 	2.418 	 	12.27	241.4 	1.33 	1.00 	53	Y
19	1226+023	26 	 	f	48	2005.710 	2.524 	 	12.51	241.3 	1.50 	1.00 	53	Y
20	1226+023	26 	 	f	48	2005.879 	2.559 	 	12.56	241.2 	1.53 	1.00 	53	Y
21	1226+023	26 	 	f	48	2006.186 	2.205 	 	12.73	241.4 	1.57 	1.00 	53	Y
22	1226+023	26 	 	f	48	2006.455 	2.024 	 	12.95	241.3 	1.66 	1.00 	53	Y
23	1226+023	26 	 	f	48	2006.474 	2.335 	 	13.01	241.2 	1.70 	1.00 	53	Y
24	1226+023	26 	 	f	48	2006.674 	2.009 	 	13.17	241.1 	1.75 	1.00 	53	Y
25	1226+023	26 	 	f	48	2006.923 	1.980 	 	13.35	241.0 	1.88 	1.00 	53	Y
26	1226+023	26 	 	f	48	2007.016 	1.578 	 	13.41	240.9 	1.78 	1.00 	53	Y
27	1226+023	26 	 	f	48	2007.167 	1.800 	 	13.70	240.4 	1.88 	1.00 	53	Y
32	1226+023	26 	 	f	48	2008.334 	1.629 	 	14.45	239.9 	2.05 	1.00 	53	Y
33	1226+023	26 	 	f	48	2008.545 	1.590 	 	14.78	239.9 	2.04 	1.00 	53	Y
34	1226+023	26 	 	f	48	2008.600 	1.296 	 	14.89	239.7 	2.19 	1.00 	53	Y
35	1226+023	26 	 	f	48	2008.701 	1.547 	 	14.89	239.8 	2.09 	1.00 	53	Y
36	1226+023	26 	 	f	48	2008.888 	1.499 	 	15.05	239.7 	2.21 	1.00 	53	Y
37	1226+023	26 	 	f	48	2009.082 	1.391 	 	15.46	239.2 	2.29 	1.00 	53	Y
38	1226+023	26 	 	f	48	2009.099 	1.534 	 	15.29	239.2 	2.23 	1.00 	53	Y
39	1226+023	26 	 	f	48	2009.230 	1.202 	 	15.55	239.2 	2.18 	1.00 	53	Y
40	1226+023	26 	 	f	48	2009.405 	1.328 	 	15.51	239.3 	2.22 	1.00 	53	Y
41	1226+023	26 	 	f	48	2009.482 	1.349 	 	15.50	239.4 	2.15 	1.00 	53	Y
42	1226+023	26 	 	f	48	2009.559 	1.425 	 	15.65	239.4 	2.50 	1.00 	53	Y
43	1226+023	26 	 	f	48	2009.658 	0.922 	 	15.72	239.5 	1.93 	1.00 	53	Y
44	1226+023	26 	 	f	48	2009.816 	1.090 	 	15.90	239.2 	2.38 	1.00 	53	Y
45	1226+023	26 	 	f	48	2009.929 	1.224 	 	16.22	238.0 	2.49 	1.00 	53	Y
46	1226+023	26 	 	f	48	2010.071 	1.227 	 	16.16	238.4 	2.69 	1.00 	53	Y
47	1226+023	26 	 	f	48	2010.466 	1.106 	 	16.54	238.1 	2.35 	1.00 	53	Y
48	1226+023	26 	 	f	48	2010.822 	0.987 	 	17.17	237.2 	2.45 	1.00 	53	Y
